Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
144,Little Boy,OpenRoad,Open Road,"$6,485,961 ","$2,750,356 ","1,045"
145,The Loft,OpenRoad,Open Road,"$6,002,684 ","$2,747,342 ","1,841"
146,Victor Frankenstein,20thCent…,20th Century,"$5,775,076 ","$2,469,341 ","2,797"
147,Danny Collins,Bleecker…,Bleecker Street,"$5,637,066 ","$72,459 ",739
148,Dilwale,UTVCommu…,UTV Communications,"$4,871,263 ","$1,920,402 ",267
149,90 Minutes in Heaven,SamuelGo…,Samuel Goldwyn Films,"$4,816,142 ","$2,035,273 ",899
150,True Story,FoxSearc…,Fox Searchlight,"$4,719,695 ","$1,950,214 ",856
151,Suffragette,FocusFea…,Focus Features,"$4,702,420 ","$76,224 ",517
152,Prem Ratan Dhan Payo,FoxInter…,Fox International,"$4,364,639 ","$2,425,585 ",287
153,45 Years,IFCFilms,IFC Films,"$4,250,507 ","$65,775 ",251
154,The Water Diviner,WarnerBros.,Warner Bros.,"$4,200,117 ","$1,220,335 ",385
155,Irrational Man,SonyPict…,Sony Pictures,"$4,030,360 ","$175,312 ",925
156,Anomalisa,Paramount…,Paramount Pictures,"$3,759,286 ","$135,222 ",573
157,Scouts Guide to the Zombie Apocalypse,Paramount…,Paramount Pictures,"$3,703,046 ","$1,841,007 ","1,509"
158,A La Mala,Lionsgate,Lionsgate,"$3,629,842 ","$1,402,118 ",384
159,Spare Parts,Lionsgate,Lionsgate,"$3,618,912 ","$1,335,768 ",440
160,We Are Your Friends,WarnerBros.,Warner Bros.,"$3,591,417 ","$1,767,308 ","2,333"
161,Mommy,Roadside…,Roadside Attractions,"$3,498,695 ","$26,718 ",83
162,What We Do in the Shadows,Unison/Pa…,Unison,"$3,469,224 ","$83,555 ",144
163,Learning to Drive,BroadGre…,Broad Green Pictures,"$3,447,633 ","$66,015 ",339
164,Phoenix,IFCFilms,IFC Films,"$3,166,858 ","$30,296 ",197
165,Relatos salvajes,SonyPict…,Sony Pictures,"$3,107,072 ","$85,100 ",122
166,Dil Dhadakne Do,ErosEnte…,Eros Entertainment,"$3,066,100 ","$1,326,267 ",238
167,Ladrones,Lionsgate,Lionsgate,"$3,063,505 ","$1,411,031 ",375
168,Tanu Weds Manu Returns,ErosEnte…,Eros Entertainment,"$3,043,479 ","$1,006,476 ",136
169,Rock the Kasbah,OpenRoad,Open Road,"$3,020,665 ","$1,470,592 ","2,012"
170,The End of the Tour,A24,A24,"$3,002,883 ","$123,238 ",355
171,Youth,FoxSearc…,Fox Searchlight,"$2,703,296 ","$78,085 ",149
172,He Named Me Malala,FoxSearc…,Fox Searchlight,"$2,668,936 ","$61,808 ",477
173,Chi-raq,AmazonSt…,Amazon Studios,"$2,653,031 ","$1,198,453 ",305
174,Captive,Paramount…,Paramount Pictures,"$2,583,301 ","$1,395,378 ",807
175,Truth,SonyPict…,Sony Pictures,"$2,541,854 ","$66,232 ","1,122"
176,Mistress America,FoxSearc…,Fox Searchlight,"$2,500,431 ","$93,206 ",512
177,Pawn Sacrifice,Bleecker…,Bleecker Street,"$2,436,308 ","$202,053 ",781
