Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
178,7 Days in Entebbe,FocusFea…,Focus Features,"$3,189,220 ","$1,592,645 ",838
179,The Sisters Brothers,Annapurna…,Annapurna Pictures,"$3,143,056 ","$115,575 ","1,141"
180,Thoroughbreds,FocusFea…,Focus Features,"$3,072,605 ","$1,224,430 ",564
181,Sgt. Stubby: An American Hero,FunAcade…,Fun Academy Motion Pictures,"$3,054,285 ","$1,164,403 ","1,633"
182,Whitney,Roadside…,Roadside Attractions,"$3,026,558 ","$1,265,572 ",451
183,American Animals,TheOrchard,The Orchard,"$2,853,526 ","$134,793 ",339
184,God Bless the Broken Road,Freestyle…,Freestyle Releasing,"$2,846,258 ","$1,386,254 ","1,272"
185,La Boda de Valentina,Lionsgate,Lionsgate,"$2,783,739 ","$1,147,073 ",331
186,Bharat Ane Nenu,GreatInd…,Great India Films,"$2,663,090 ","$2,663,090 ",305
187,You Were Never Really Here,AmazonSt…,Amazon Studios,"$2,523,610 ","$132,829 ",233
188,Suspiria,AmazonSt…,Amazon Studios,"$2,483,472 ","$184,037 ",309
189,The Rider,SonyPict…,Sony Pictures,"$2,418,679 ","$42,244 ",224
190,Meari to majo no hana,GKIDS,GKIDS,"$2,418,404 ","$1,515,939 ",448
191,Hearts Beat Loud,Gunpowder…,Gunpowder & Sky,"$2,386,254 ","$74,524 ",170
192,Papillon,Bleecker…,Bleecker Street,"$2,335,896 ","$1,090,073 ",544
193,At Eternity's Gate,CBSFilms,CBS Films,"$2,294,917 ","$92,855 ",178
194,Puzzle,SonyPict…,Sony Pictures,"$2,031,242 ","$61,214 ",265
195,Una mujer fantástica,SonyPict…,Sony Pictures,"$2,019,554 ","$64,241 ",190
196,Pope Francis—A Man of His Word,FocusFea…,Focus Features,"$2,008,385 ","$507,870 ",385
197,Assassination Nation,Neon,Neon,"$2,005,142 ","$1,050,021 ","1,403"
198,The Front Runner,SonyPict…,Sony Pictures,"$1,994,179 ","$51,543 ",807
199,Tang Ren Jie Tan An 2,WarnerBros.,Warner Bros.,"$1,983,984 ","$704,047 ",115
200,Race 3,YashRaj…,Yash Raj Films,"$1,690,861 ","$1,690,861 ",314
201,Padman,SonyPict…,Sony Pictures,"$1,662,927 ","$740,313 ",152
