,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
138,139,In Darkness,SonyPict…,Sony Pictures,"$6,994,218 ","$27,413 ",52
139,140,The Collection,LDDistri…,#N/A,"$6,810,754 ","$3,104,269 ","1,403"
140,141,Amour,SonyPict…,Sony Pictures,"$6,738,954 ","$68,266 ",333
141,142,Hyde Park on Hudson,FocusFea…,Focus Features,"$6,376,145 ","$81,362 ",246
142,143,Hitchcock,FoxSearc…,Fox Searchlight,"$6,008,677 ","$287,715 ",561
143,144,Chasing Mavericks,20thCent…,20th Century,"$6,002,756 ","$2,268,274 ","2,030"
144,145,The Sessions,FoxSearc…,Fox Searchlight,"$6,002,451 ","$113,467 ",516
145,146,Casa de mi Padre,Lionsgate,Lionsgate,"$5,909,483 ","$2,287,239 ",475
146,147,For Greater Glory: The True Story of Cristiada,ARCEnter…,ARC Entertainment,"$5,669,081 ","$1,885,608 ",757
147,148,October Baby,Five&Tw…,Five & Two Pictures,"$5,355,847 ","$34,038 ",398
148,149,Wont Back Down,20thCent…,20th Century,"$5,310,554 ","$2,603,370 ","2,517"
149,150,The Apparition,WarnerBros.,Warner Bros.,"$4,936,819 ","$2,841,488 ",810
150,151,Jeff Who Lives at Home,Paramount…,Paramount Pictures,"$4,269,426 ","$855,709 ",513
151,152,Goon,Alliance…,Alliance Atlantis,"$4,164,911 ","$1,270,000 ",262
152,153,Serbuan maut,SonyPict…,Sony Pictures,"$4,105,123 ","$213,785 ",881
153,154,Safety Not Guaranteed,FilmDistrict,Film District,"$4,010,957 ","$97,762 ",182
154,155,Searching for Sugar Man,SonyPict…,Sony Pictures,"$3,965,090 ","$27,459 ",157
155,156,The Cold Light of Day,Lionsgate,Lionsgate,"$3,763,583 ","$1,831,588 ","1,511"
156,157,Pina,IFCFilms,IFC Films,"$3,520,458 ","$68,012 ",83
157,158,Bully,Weinstein…,Weinstein Co.,"$3,483,795 ","$116,472 ",263
158,159,Nitro Circus: The Movie 3D,ARCEnter…,ARC Entertainment,"$3,377,000 ","$1,183,701 ",800
159,160,Atlas Shrugged: Part II,AtlasDis…,#N/A,"$3,336,053 ","$1,751,572 ","1,012"
